ALCOY/ALCOI;18
ALFARP;1
ALICANTE/ALACANT;106
BENITACHELL/POBLE NOU DE BENITATXELL (EL);1
BIGUES I RIELLS;2
CASTELL-PLATJA D'ARO;6
ELCHE/ELX;58
ERRIBERABEITIA;1
Fecha de Referencia: 30/06/2025;1
GUADIANA DEL CAUDILLO;2
JAVEA/XABIA;9
JIJONA/XIXONA;4
MAO-MAHON;13
MOGENTE/MOIXENT;3
MONOVAR/MONOVER;6
NOVELE/NOVETLÈ;1
OROPESA DEL MAR/ORPESA;3
SAN VICENTE DEL RASPEIG/SANT VICENT DEL RASPEIG;12
SANT CARLES DE LA RÀPITA;3
TORREMANZANAS/TORRE DE LES MAÇANES (LA);1
USERAS/USERES (LES);1
VILLAJOYOSA/VILA JOIOSA(LA);9
VILLANUEVA DE CASTELLON;3
